第十三篇 第十一章 白阐魔君,2871,2018-07-26 01:56:02
第十三篇 第十二章 魔中之魔,2543,2018-07-26 23:43:14
第十三篇 第十三章 鹰魔王的盛宴,2626,2018-07-27 02:01:48
第十三篇 第十四章 杀妖,2448,2018-07-28 01:44:46
第十三篇 第十五章 本命飞剑之威！,2232,2018-07-28 03:03:47
第十三篇 第十六章 化神丹,2727,2018-07-29 02:46:43
第十三篇 第十七章 熊山大妖,2575,2018-07-30 03:02:54
第十三篇 第十八章 九山岛主,2573,2018-07-31 02:04:21
第十三篇 第十九章 大昌世界的秦剑仙,2480,2018-07-31 03:40:45
第十三篇 第二十章 崔连峰,2340,2018-08-01 02:08:52
第十三篇 第二十一章 神通小成,2902,2018-08-01 04:05:25
第十三篇 第二十二章 龙山界,2288,2018-08-02 03:12:15
第十三篇 第二十三章 暴露,2509,2018-08-02 04:28:35
第十三篇 第二十四章 大神通,2152,2018-08-03 02:25:48
第十三篇 第二十五章 一道金线,2382,2018-08-03 04:21:26
第十三篇 第二十六章 紫微剑图,2477,2018-08-04 02:39:30
第十三篇 第二十七章 大战落幕,2553,2018-08-05 00:56:26
第十三篇 第二十八章 入群星殿,2333,2018-08-05 02:09:23
第十三篇 第二十九章 先天奇物‘混沌精金’,2608,2018-08-06 01:28:12
第十三篇 第三十章 孕养本命飞剑,2375,2018-08-07 02:01:29
第十三篇 第三十一章 熊山妖王降临,2848,2018-08-07 03:58:30
第十三篇 第三十二章 约战,2388,2018-08-08 02:11:26
第十三篇 第三十三章 本命极品灵宝,2550,2018-08-08 04:23:57
第十三篇 第三十四章 秦云战熊山妖王,2600,2018-08-09 02:27:10
第十三篇 第三十五章 五行剑经,2601,2018-08-09 03:49:28
第十三篇 第三十六章 名声（本篇终章）,2626,2018-08-10 02:42:22
第十四篇 三千年悟剑 第一章 魔尊,2360,2018-08-16 02:29:54
第十四篇 三千年悟剑 第二章 道生出的一,2374,2018-08-17 02:54:31
第十四篇 三千年悟剑 第三章 葵食宫主,2503,2018-08-18 03:40:57
第十四篇 第四章 尾巴,2902,2018-08-19 02:40:55
第十四篇 第五章 后怕,2370,2018-08-20 03:37:37
第十四篇 第六章 萨许师兄的善意,2841,2018-08-21 04:09:03
